date,ensemble
2022-01-04,1000000.0
2022-01-05,1035651.9443616334
2022-01-06,1048479.512181366
2022-01-07,1038533.6851620028
2022-01-10,1049343.663937027
2022-01-11,1044276.4677242584
2022-01-12,1054465.0883907625
2022-01-13,1058510.2871517488
2022-01-14,1058652.0959133457
2022-01-17,1066467.3264583894
2022-01-18,1047829.7143825836
2022-01-19,1040908.1320929108
2022-01-20,1027115.0447955286
2022-01-21,1023257.5606749536
2022-01-24,978983.5777647974
2022-01-25,992013.861852932
2022-01-27,981099.8118956567
2022-01-28,983837.557165432
2022-01-31,1001750.8595030786
2022-02-01,1002855.0629332544
2022-02-02,1021764.2556822778
2022-02-03,1017765.4426329614
2022-02-04,1016344.8167784692
2022-02-07,990207.1708128932
2022-02-08,994717.9545348168
2022-02-09,1018404.2524684718
2022-02-10,1021003.9760402492
2022-02-11,1011104.1163428308
2022-02-14,971933.4848120692
2022-02-15,1012161.9552710536
2022-02-16,1008606.1527808192
2022-02-17,1008683.5112402918
2022-02-18,1011233.947702694
2022-02-21,994603.92280505
2022-02-22,992767.9658653528
2022-02-23,995477.659895611
2022-02-24,937110.541359234
2022-02-25,969141.7941973688
2022-02-28,980089.0199351312
2022-03-02,961695.2464060786
2022-03-03,954947.3743968012
2022-03-04,938234.3996348385
2022-03-07,923185.5443491938
2022-03-08,922262.4726040766
2022-03-09,950967.7351796384
2022-03-10,975628.6802479976
2022-03-11,977895.3074452633
2022-03-14,983570.061779034
2022-03-15,980215.265911114
2022-03-16,1009411.7989921689
2022-03-17,1033808.6249477352
2022-03-21,1018147.7775368616
2022-03-22,1036166.0445656704
2022-03-23,1026215.176828854
2022-03-24,1025612.115046017
2022-03-25,1038956.7042488978
2022-03-28,1049552.594004147
2022-03-29,1050118.3493319058
2022-03-30,1062055.6840181851
2022-03-31,1062528.496792843
2022-04-01,1083997.2503481412
2022-04-04,1092613.0791140103
2022-04-05,1115985.921811154
2022-04-06,1118774.1332369351
2022-04-07,1104398.167787228
2022-04-08,1128767.138294228
2022-04-11,1123219.186569222
2022-04-12,1119381.0663604818
2022-04-13,1115310.6948585592
2022-04-18,1115213.3598404012
2022-04-19,1093351.7347259603
2022-04-20,1107308.627155312
2022-04-21,1129597.6616630636
2022-04-22,1116603.348262795
2022-04-25,1109478.872001656
2022-04-26,1137802.1182823265
2022-04-27,1115812.2745399557
2022-04-28,1128196.457759865
2022-04-29,1113905.6703834615
2022-05-02,1111180.9330978475
2022-05-04,1080279.4411087118
2022-05-05,1080401.618747719
2022-05-06,1071931.2600975118
2022-05-09,1058857.3842697225
2022-05-10,1039127.7822990498
2022-05-11,1039373.3963508686
2022-05-12,1020262.6886406024
2022-05-13,1020800.345905312
2022-05-16,1028826.147857674
2022-05-17,1055493.1324348531
2022-05-18,1051682.5730896078
2022-05-19,1028900.8230056844
2022-05-20,1081592.043499001
2022-05-23,1072708.189708718
2022-05-24,1072515.4215431295
2022-05-25,1051431.5949974142
2022-05-26,1048250.5092697224
2022-05-27,1060740.3735885702
2022-05-30,1081191.3452110372
2022-05-31,1084315.6730003438
2022-06-01,1073725.5790252767
2022-06-02,1088241.044612893
2022-06-03,1082882.5644874654
2022-06-06,1086560.8019447408
2022-06-07,1075480.8817100606
2022-06-08,1066616.77883149
2022-06-09,1089499.6790237508
2022-06-10,1084952.849864968
2022-06-13,1048232.7493515096
2022-06-14,1076238.0400199972
2022-06-15,1073443.532245644
2022-06-16,1037792.0074653706
2022-06-17,1036754.2393236012
2022-06-20,1041693.1357314688
2022-06-21,1067788.736434792
2022-06-22,1060093.1451109394
2022-06-23,1073462.4886625751
2022-06-24,1080519.715453957
2022-06-27,1086980.161643837
2022-06-28,1096568.0436628803
2022-06-29,1094379.2949293598
2022-06-30,1097967.403785561
2022-07-01,1093623.8178251728
2022-07-04,1090561.302474831
2022-07-05,1096628.7023542866
2022-07-06,1099020.3724287497
2022-07-07,1091154.7392424091
2022-07-08,1104590.5411869057
2022-07-11,1117976.84203682
2022-07-12,1119661.3774982458
2022-07-13,1117899.002688981
2022-07-14,1129192.9492221838
2022-07-15,1124243.4413715368
2022-07-18,1115887.1467090612
2022-07-19,1114612.422618485
2022-07-20,1119247.6301609045
2022-07-21,1106339.2557941442
2022-07-22,1106093.881755448
2022-07-25,1099077.105250931
2022-07-26,1075234.5328403478
2022-07-27,1087278.328250504
2022-07-28,1085086.5941883093
2022-07-29,1060385.5591541296
2022-08-01,1070218.9852176672
2022-08-02,1064063.4997135168
2022-08-03,1068081.5805240637
2022-08-04,1079366.723361588
2022-08-05,1083891.970592118
2022-08-08,1094317.4818454748
2022-08-10,1098860.3696475988
2022-08-11,1102470.5823322302
2022-08-12,1102003.7241016394
2022-08-16,1108553.115069962
2022-08-17,1117927.458041764
2022-08-18,1101013.819079972
2022-08-19,1095024.7230411535
2022-08-22,1086180.566318131
2022-08-23,1094689.7293659216
2022-08-24,1094344.7293582922
2022-08-25,1097733.3171421057
2022-08-26,1094125.6417499548
2022-08-29,1086065.6953693395
2022-08-30,1097136.136859513
2022-09-01,1089811.592692948
2022-09-02,1086199.45556984
2022-09-05,1090721.7610584265
2022-09-06,1099402.9454608925
2022-09-07,1100394.105861283
2022-09-08,1109367.8731952673
2022-09-09,1107080.0311161047
2022-09-12,1110444.3421054846
2022-09-13,1112404.076511002
2022-09-14,1103012.3395496374
2022-09-15,1093973.8046604162
2022-09-16,1070762.24072609
2022-09-19,1075905.7997394567
2022-09-20,1101100.484790421
2022-09-21,1086245.4135318762
2022-09-22,1091258.569041825
2022-09-23,1078919.1464572912
2022-09-26,1072379.761500931
2022-09-27,1083638.405467606
2022-09-28,1099108.7393833166
2022-09-29,1114963.7648731235
2022-09-30,1118246.431552506
2022-10-03,1134074.8767353063
2022-10-04,1138731.6961170202
2022-10-06,1133250.052936173
2022-10-07,1129818.82716713
2022-10-10,1130307.989276505
2022-10-11,1099417.4503877263
2022-10-12,1113260.4820748754
2022-10-13,1100521.808612961
2022-10-14,1107378.0749703832
2022-10-17,1106130.2859078832
2022-10-18,1130300.718647141
2022-10-19,1145889.2181588598
2022-10-20,1162999.928363938
2022-10-21,1174229.000019211
2022-10-24,1202597.6062203832
2022-10-25,1174871.1126901098
2022-10-27,1167039.277362961
2022-10-28,1174575.1181832738
2022-10-31,1186098.916645188
2022-11-01,1199743.078022141
2022-11-02,1190613.9880563207
2022-11-03,1189603.4248238988
2022-11-04,1190236.4083444066
2022-11-07,1193415.180317063
2022-11-09,1185785.2826119848
2022-11-10,1178223.6035348363
2022-11-11,1190255.6999703832
2022-11-14,1176777.6266061254
2022-11-15,1176878.3083688207
2022-11-16,1179371.6645699926
2022-11-17,1173622.769428391
2022-11-18,1168693.199237961
2022-11-21,1157965.4131051488
2022-11-22,1151140.736591477
2022-11-23,1148755.8968697973
2022-11-24,1161514.5072213598
2022-11-25,1154416.654194016
2022-11-28,1169877.0543405004
2022-11-29,1184439.3282662816
2022-11-30,1188557.4341012426
2022-12-01,1185713.3539010473
2022-12-02,1170498.6024362035
2022-12-05,1170568.506488938
2022-12-06,1177310.978778977
2022-12-07,1174370.9480172582
2022-12-08,1168077.2735787816
2022-12-09,1183660.9996530004
2022-12-12,1196418.2585641332
2022-12-13,1192572.977680344
2022-12-14,1178414.873676438
2022-12-15,1160767.4048043676
2022-12-16,1157615.084247727
2022-12-19,1173960.14796843
2022-12-20,1176298.188984055
2022-12-21,1184993.0575143285
2022-12-22,1183954.9415475316
2022-12-23,1169400.1786080785
2022-12-26,1160051.0130807348
2022-12-27,1157574.6106149144
2022-12-28,1161206.536640305
2022-12-29,1161251.3730660863
2022-12-30,1152867.8304635473
2023-01-02,1150692.9610787816
2023-01-03,1160600.5322457738
2023-01-04,1147001.96828093
2023-01-05,1157772.3066598363
2023-01-06,1160067.642109055
