account_rewards,date
-30890.53888877877,2022-10-10
13843.03168714908,2022-10-11
-12738.673461914062,2022-10-12
6856.266357421875,2022-10-13
-1247.7890625,2022-10-14
24170.432739257812,2022-10-17
15588.49951171875,2022-10-18
17110.710205078125,2022-10-19
11229.071655273438,2022-10-20
28368.606201171875,2022-10-21
-27726.493530273438,2022-10-24
-7831.8353271484375,2022-10-25
7535.8408203125,2022-10-27
11523.798461914062,2022-10-28
13644.161376953125,2022-10-31
-9129.089965820312,2022-11-01
-1010.563232421875,2022-11-02
632.9835205078125,2022-11-03
3178.77197265625,2022-11-04
-7629.897705078125,2022-11-07
-7561.6790771484375,2022-11-09
12032.096435546875,2022-11-10
-13478.073364257812,2022-11-11
100.6817626953125,2022-11-14
2493.356201171875,2022-11-15
-5748.8951416015625,2022-11-16
-4929.5701904296875,2022-11-17
-10727.7861328125,2022-11-18
-6824.676513671875,2022-11-21
-2384.8397216796875,2022-11-22
12758.6103515625,2022-11-23
-7097.85302734375,2022-11-24
15460.400146484375,2022-11-25
14562.27392578125,2022-11-28
4118.1058349609375,2022-11-29
-2844.0802001953125,2022-11-30
-15214.75146484375,2022-12-01
69.904052734375,2022-12-02
6742.4722900390625,2022-12-05
-2940.03076171875,2022-12-06
-6293.6744384765625,2022-12-07
15583.72607421875,2022-12-08
12757.258911132812,2022-12-09
-3845.2808837890625,2022-12-12
-14158.10400390625,2022-12-13
-17647.468872070312,2022-12-14
-3152.320556640625,2022-12-15
16345.063720703125,2022-12-16
2338.041015625,2022-12-19
8694.868530273438,2022-12-20
-1038.115966796875,2022-12-21
-14554.762939453125,2022-12-22
-9349.16552734375,2022-12-23
-2476.4024658203125,2022-12-26
3631.926025390625,2022-12-27
44.83642578125,2022-12-28
-8383.542602539062,2022-12-29
-2174.869384765625,2022-12-30
9907.571166992188,2023-01-02
-13598.56396484375,2023-01-03
10770.33837890625,2023-01-04
2295.33544921875,2023-01-05
